Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken
83.14912036368953,44,77.08656720433424,46,228,0.38600993156433105
81.90381764672959,43,76.5242310447115,45,301,0.5203781127929688
84.14050790331918,46,73.80035220898714,48,306,0.5308327674865723
79.761116348565,42,74.25052375665534,44,224,0.36764073371887207
87.28153942198882,45,80.26430021016091,47,271,0.5140621662139893
98.96124912291233,51,91.37279746728385,53,274,0.5442061424255371
84.97338169748268,45,77.5357255505985,47,285,0.49081969261169434
102.87648504119596,53,93.42143513320495,55,265,0.5013384819030762
83.9615249985237,44,77.10727529408094,46,211,0.3807547092437744
82.62839787909468,43,76.62284805851975,45,176,0.3385581970214844
81.44290833872867,42,76.37435742757644,44,265,0.5106134414672852
83.58482743256434,44,77.90199077018667,46,208,0.3397364616394043
77.22467220753951,41,72.60989399875635,43,164,0.23189449310302734
77.98256020157584,41,73.38885759338311,43,243,0.49539709091186523
80.74879502174635,42,74.62813240588802,44,260,0.46004581451416016
76.01665175474425,41,69.79978410680762,43,385,0.7750265598297119
89.44854828705296,48,82.70892639492585,50,291,0.5792667865753174
87.11269355023924,46,82.49613987678104,48,283,0.5342872142791748
86.47369311611878,46,80.3028966371754,48,266,0.3987720012664795
82.84454154424391,44,75.92219971711349,46,266,0.5361571311950684
87.41754311618924,45,81.07147717204107,47,378,0.783522367477417
85.99999999999999,44,77.54958055845398,46,170,0.27083492279052734
81.58278419040444,43,75.20235202360729,45,252,0.440021276473999
89.33108353650982,47,83.52805968591102,49,401,0.7416613101959229
92.93077473055561,48,85.26416349201001,50,344,0.6299593448638916
88.12665030387669,46,82.06857670083879,48,298,0.5548958778381348
79.89837637721475,43,72.87430011215297,45,219,0.36975955963134766
74.3677170391402,39,68.47019671420352,41,217,0.36359691619873047
97.47923478566388,53,89.69548555005274,55,372,0.6171221733093262
75.33174631710224,42,70.31113013136564,44,277,0.4836556911468506
79.91299841864699,43,75.35241930255843,45,342,0.6038367748260498
86.4037824178098,46,82.06800855896002,48,318,0.6208760738372803
92.25445953092377,48,85.77159112932536,50,233,0.4371194839477539
79.42144392030436,43,74.4024039054453,45,306,0.5807068347930908
82.24061789706198,43,76.40101788286704,45,312,0.5838315486907959
81.61707114643342,42,75.73365246373896,44,254,0.4531834125518799
88.9960136201145,46,82.09712404337745,48,343,0.6125800609588623
103.96742939816781,55,92.82159023242542,57,286,0.5354681015014648
85.45010695589919,45,77.15679927914044,47,442,0.8657190799713135
81.54387544006678,43,75.35966602167694,45,351,0.6408557891845703
93.33590283948918,48,85.14981714955096,50,243,0.4554023742675781
86.11826364144838,45,80.0597303818678,47,226,0.390061616897583
83.28557773036077,43,77.53601870812773,45,207,0.44031858444213867
84.27373397218378,44,79.21442047631527,46,350,0.6349434852600098
87.01037933011379,46,80.36342766324644,48,352,0.5698988437652588
83.62932287239653,43,77.32157023041134,45,546,1.1284377574920654
86.33530295004542,46,80.78184635184505,48,218,0.3655107021331787
80.91680563421707,45,74.83348575923567,47,473,1.0012776851654053
86.29811669089246,45,80.17220920995847,47,239,0.4384312629699707
92.13973606163711,48,83.95769713656587,50,383,0.7059988975524902
91.0444714805316,47,83.0735115520467,49,307,0.6427865028381348
88.0,45,82.36904589522554,47,274,0.5140197277069092
79.28758232739449,41,72.11718368690187,43,210,0.40906739234924316
79.11866694814583,43,74.94502160935883,45,330,0.6427609920501709
101.84652893071262,54,93.7336138024283,56,605,1.2365083694458008
86.2167635500717,45,81.27446011709038,47,264,0.5250773429870605
82.99283307562965,43,75.66464260018134,45,186,0.28710436820983887
80.0,41,73.7825976499066,43,151,0.24721741676330566
82.0,42,76.906114049515,44,158,0.25713253021240234
87.19928409655459,45,81.87574116428203,47,203,0.348330020904541
84.08611001047997,44,78.16448799039706,46,357,0.7165172100067139
84.2622399760985,45,77.4672124211009,47,500,1.0155401229858398
81.86751062743473,43,74.55819131005022,45,238,0.441943883895874
89.8131043994752,48,80.27381952037231,50,201,0.35371875762939453
81.4643592091235,42,75.80931197085822,44,133,0.2063908576965332
87.54954262356605,47,78.88201530470135,49,381,0.7793993949890137
84.55576355753345,44,78.66288231840308,46,229,0.42096376419067383
89.31189760614302,47,84.14616153730306,49,158,0.2601616382598877
104.70263425723421,55,94.22541266929052,57,388,0.7312157154083252
87.84862369851837,45,80.02110103504685,47,150,0.2638206481933594
85.63027712254099,45,78.02484766750172,47,216,0.3394358158111572
89.4760218774201,47,80.86044556991605,49,239,0.45970845222473145
