Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken
Greedy,2,0.37,0,12,74.68092206979473,39,69.36638138662556,41,343,0.28481411933898926
Greedy,2,0.37,0,12,77.97000823883977,41,73.40355998238016,43,397,0.4053659439086914
Greedy,2,0.37,0,12,75.99982784431428,40,70.40458033214927,42,298,0.24354100227355957
Greedy,2,0.37,0,12,89.27091460252325,46,83.22660625437106,48,233,0.2133643627166748
Greedy,2,0.37,0,12,81.11522147188258,43,75.68253905856027,45,199,0.18511486053466797
Greedy,2,0.37,0,12,82.78604632120486,44,75.70746667593549,46,265,0.2571065425872803
Greedy,2,0.37,0,12,79.14649791596676,41,76.19387352323793,43,180,0.15226030349731445
Greedy,2,0.37,0,12,81.54206341954028,42,77.50284108183774,44,250,0.23784470558166504
Greedy,2,0.37,0,12,80.0,41,72.80039385554971,43,249,0.22014522552490234
Greedy,2,0.37,0,12,88.81354572469792,47,81.44801894599291,49,512,0.5355501174926758
Greedy,2,0.37,0,12,81.99999999999999,42,77.08512790101655,44,246,0.21366524696350098
Greedy,2,0.37,0,12,80.2599460756064,43,73.77932510745659,45,345,0.3650965690612793
Greedy,2,0.37,0,12,81.07036987404868,42,75.75564319550246,44,327,0.31873106956481934
Greedy,2,0.37,0,12,81.43927658706973,42,72.34475220601847,44,212,0.19684362411499023
Greedy,2,0.37,0,12,74.39788871527665,39,69.95539218338087,41,233,0.21978759765625
Greedy,2,0.37,0,12,87.97212155574421,46,80.45014038312337,48,347,0.3441786766052246
Greedy,2,0.37,0,12,81.33021325892265,42,74.84204656945111,44,280,0.24460625648498535
Greedy,2,0.37,0,12,89.46301375703933,46,80.67906687313742,48,313,0.33760571479797363
Greedy,2,0.37,0,12,86.81541373002902,46,81.72195575387441,48,297,0.2781054973602295
Greedy,2,0.37,0,12,89.29008250031788,48,80.3727227645043,50,311,0.3019392490386963
Greedy,2,0.37,0,12,84.8821953314052,45,77.05058022700302,47,431,0.4647345542907715
Greedy,2,0.37,0,12,89.31681332033365,46,81.73660823830528,48,335,0.3246443271636963
Greedy,2,0.37,0,12,79.56605723916694,41,73.81816898029106,43,154,0.13713455200195312
Greedy,2,0.37,0,12,81.31599841098331,43,75.41703873566765,45,470,0.49350881576538086
Greedy,2,0.37,0,12,92.28976124060902,50,83.59500182334274,52,402,0.39931440353393555
Greedy,2,0.37,0,12,72.97343692694541,39,68.41885381603944,41,253,0.22834300994873047
Greedy,2,0.37,0,12,91.77414635359895,48,85.25422506553126,50,357,0.33641672134399414
Greedy,2,0.37,0,12,82.97472140130404,43,78.68078709765733,45,367,0.3543546199798584
Greedy,2,0.37,0,12,87.85663240712672,48,77.99545285189843,50,310,0.2719857692718506
Greedy,2,0.37,0,12,87.25627208307027,46,80.34985179022323,48,388,0.37578415870666504
Greedy,2,0.37,0,12,87.68101944692607,46,80.8416400404012,48,272,0.27922511100769043
Greedy,2,0.37,0,12,72.15970439967923,39,68.23417148797714,41,201,0.17653489112854004
Greedy,2,0.37,0,12,81.68722547975455,44,75.4965591322048,46,315,0.27878379821777344
Greedy,2,0.37,0,12,84.45036927404784,44,78.8840703260745,46,392,0.36846375465393066
Greedy,2,0.37,0,12,86.94927268394437,45,79.30277266981894,47,196,0.16627264022827148
Greedy,2,0.37,0,12,83.9203219491455,44,77.78229462158204,46,288,0.2630000114440918
Greedy,2,0.37,0,12,84.03468172638952,45,77.47680896614703,47,310,0.3034543991088867
Greedy,2,0.37,0,12,79.78776192840331,42,73.09531611265068,44,293,0.27716684341430664
Greedy,2,0.37,0,12,81.16568702871207,44,75.47936381668404,46,452,0.48247480392456055
Greedy,2,0.37,0,12,94.15194650013213,49,86.98131186447328,51,247,0.25265002250671387
Greedy,2,0.37,0,12,97.13831554173844,52,89.59419487784751,54,254,0.2487647533416748
Greedy,2,0.37,0,12,94.65979576980713,49,87.3650547276975,51,318,0.3017702102661133
Greedy,2,0.37,0,12,83.99999999999999,43,77.94176426567459,45,284,0.2465953826904297
Greedy,2,0.37,0,12,88.78028651282848,49,79.01408688652327,51,297,0.29082393646240234
Greedy,2,0.37,0,12,80.63629445491003,42,75.52969442124058,44,233,0.22899580001831055
Greedy,2,0.37,0,12,79.33048516165374,41,74.38310293372518,43,210,0.17296195030212402
Greedy,2,0.37,0,12,78.60356644966657,42,72.37357030209913,44,264,0.24808049201965332
Greedy,2,0.37,0,12,76.70139280426741,40,72.5350449821256,42,341,0.3016214370727539
Greedy,2,0.37,0,12,91.48858883069603,50,81.53015139480945,52,316,0.29618358612060547
Greedy,2,0.37,0,12,97.88813351175646,51,87.36408148848653,53,406,0.4023773670196533
Greedy,2,0.37,0,12,75.06975148750429,42,70.56076990124185,44,454,0.44090700149536133
Greedy,2,0.37,0,12,74.75198814586389,39,71.93121005027014,41,300,0.28057193756103516
Greedy,2,0.37,0,12,81.64925761783726,42,74.02843619326784,44,256,0.21969866752624512
Greedy,2,0.37,0,12,76.1600873769573,41,73.0562658445315,43,234,0.20401549339294434
Greedy,2,0.37,0,12,99.71029948511475,52,89.30586796759671,54,261,0.24888038635253906
Greedy,2,0.37,0,12,95.9528148096039,51,87.52741798341135,53,339,0.3372993469238281
Greedy,2,0.37,0,12,83.84193705339314,44,76.72281103289582,46,167,0.14679217338562012
Greedy,2,0.37,0,12,88.154582535533,48,81.62962955286214,50,375,0.36542415618896484
Greedy,2,0.37,0,12,75.34598584439992,39,70.00307266730735,41,170,0.13130998611450195
Greedy,2,0.37,0,12,90.9933656334917,48,83.64273371582337,50,319,0.30359601974487305
