Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken,Obstacles
Greedy,2,0.37,0,12,107.237389382448,59,97.57749650349973,61,1553,4.181184530258179,19
Speedy,2,0.37,0.5,12,113.47666113661823,67,100.21917769718308,69,2072,9.549356460571289,19
Normal,2,0,0,12,96.53756227354312,56,86.81769732063736,58,2761,7.604176044464111,19
Spaced,2,0,0.5,12,105.2263539396177,59,93.62756812202437,61,1573,5.727466344833374,19
Greedy,2,0.37,0,12,111.45183514515072,70,97.27181787749126,72,2466,7.971524715423584,19
Speedy,2,0.37,0.5,12,106.7813597421317,62,95.31628540185392,64,1657,6.9708287715911865,19
Normal,2,0,0,12,99.04212142324646,55,88.30861759353112,57,2192,5.709575414657593,19
Spaced,2,0,0.5,12,95.80759513053218,55,87.45407728127378,57,1724,6.412318229675293,19
Greedy,2,0.37,0,12,104.22221967021716,58,95.14804985845093,60,2424,7.610742568969727,19
Speedy,2,0.37,0.5,12,108.62633722837646,63,99.30389224808957,65,2148,10.527568340301514,19
Normal,2,0,0,12,114.50813674505844,67,103.73177209228191,69,3508,10.60644793510437,19
Spaced,2,0,0.5,12,100.34407754901257,57,94.39711324382785,59,1804,7.090993165969849,19
Greedy,2,0.37,0,12,101.33058088775759,61,91.4463568342954,63,2717,9.088158369064331,19
Speedy,2,0.37,0.5,12,93.8251152030841,52,85.85317262680036,54,1215,4.513441324234009,19
Normal,2,0,0,12,104.99746538415683,60,95.1972171070092,62,3843,12.209776401519775,19
Spaced,2,0,0.5,12,109.8182677427073,62,99.96725396807373,64,1790,6.503244638442993,19
Greedy,2,0.37,0,12,91.87181073223385,51,83.6317795502289,53,589,1.4872338771820068,19
Speedy,2,0.37,0.5,12,103.31934044863763,56,93.36711509033924,58,1732,7.606682062149048,19
Normal,2,0,0,12,93.54902866315597,51,85.98472315399596,53,1144,2.527243137359619,19
Spaced,2,0,0.5,12,105.67413314692116,64,97.43417778548901,66,2294,8.937804222106934,19
Greedy,2,0.37,0,12,105.6401674730285,56,92.2434381383529,58,546,1.4017915725708008,19
Speedy,2,0.37,0.5,12,95.04366281418518,50,88.1953997182625,52,319,1.1778688430786133,19
Normal,2,0,0,12,116.83534099494457,69,105.48909176105553,71,4000,13.231379747390747,19
Spaced,2,0,0.5,12,100.15408295959801,59,90.9886593990321,61,2305,8.847221374511719,19
Greedy,2,0.37,0,12,107.29561876646837,63,98.54734774058917,65,2689,8.710527181625366,19
Speedy,2,0.37,0.5,12,108.9497616840703,61,99.94878741680151,63,1455,6.398491859436035,19
Normal,2,0,0,12,101.02655472208221,54,91.78202281602701,56,1078,2.3971877098083496,19
Spaced,2,0,0.5,12,103.6649304527398,62,93.45520725678539,64,2255,9.044150352478027,19
