Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken
50.85859428393186,27,46.59652629256104,29,644,0.9539902210235596
43.016205987444145,23,41.89534295509998,25,77,0.03998923301696777
46.00000000000001,24,43.10215920652105,26,85,0.04458928108215332
50.4702743752443,27,46.637120022136976,29,251,0.14157462120056152
46.00000000000001,24,43.6252485555129,26,76,0.033393144607543945
49.99999999999999,26,46.74716392831093,28,122,0.05626225471496582
54.99603511614257,30,50.608165174574104,32,858,0.6845152378082275
47.69722490547758,26,43.85017296519747,28,390,0.23915910720825195
44.0,23,42.327316748587556,25,112,0.059876441955566406
43.46887786435132,23,39.68442240096914,25,92,0.0469210147857666
45.99999999999999,24,42.42704730812735,26,68,0.026967525482177734
51.99999999999999,27,49.93561550701463,29,100,0.04811382293701172
44.00000000000001,23,41.192057510142504,25,64,0.026787519454956055
54.23938024974345,30,50.475808280738654,32,581,0.3973417282104492
51.51891735452617,27,48.82828459714764,29,250,0.13949060440063477
47.986407015767,26,43.72377783268581,28,64,0.027616500854492188
46.3383701327399,26,42.05003653934729,28,326,0.20159435272216797
43.22798005451846,23,40.09771666127192,25,104,0.05406999588012695
48.876227223777164,26,45.28346165543461,28,97,0.053133249282836914
51.25737548779231,27,47.99395293812098,29,141,0.08050131797790527
45.30233729368102,24,41.59459177261356,26,75,0.034209251403808594
52.686075400637655,28,47.592368705104775,30,160,0.09032845497131348
44.620361181793605,24,41.72994863880419,26,149,0.09098410606384277
48.756226487490196,26,44.83350643204349,28,207,0.1295938491821289
44.0,23,41.45149377631818,25,95,0.046689748764038086
47.296520984930595,25,43.667896163364176,27,231,0.14722037315368652
47.847820869297024,26,44.25416626256021,28,447,0.31761622428894043
52.00000000000001,27,49.80522513898512,29,81,0.04151439666748047
47.99999999999999,25,45.202819592814784,27,58,0.02531266212463379
48.865402693529205,26,45.38385420349042,28,136,0.06634688377380371
43.99999999999999,23,42.09735274197894,25,94,0.04265403747558594
45.770660827650694,24,42.217391764364734,26,62,0.028369426727294922
51.51955237041884,28,47.764447231642464,30,352,0.2128455638885498
46.94662288492422,28,44.76599689302776,30,616,0.4671051502227783
